
Host: TUF

Timers On : Mon Jul  7 09:47:27 2025
Timers Off: Mon Jul  7 09:47:33 2025

Wall Time:        6.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.200u      0.050s      0.143w      4 calls
DFH: AO Construction                :      0.050u      0.000s      0.023w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.400u      0.150s      0.327w      4 calls
SAD Guess                           :      0.383u      0.150s      0.312w      4 calls
HF: Form G                          :      8.283u      0.367s      5.179w     33 calls
RV: Form V                          :      8.267u      0.350s      5.147w     33 calls
Properties                          :      1.233u      0.067s      0.873w  18282 calls
Functional                          :      5.200u      0.217s      3.070w  18282 calls
V_xc                                :      1.600u      0.050s      1.067w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     33 calls
JK: JK                              :      0.000u      0.017s      0.007w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.006w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.005w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.600u      0.017s      0.366w     29 calls
HF: Form C                          :      0.017u      0.000s      0.030w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.517u      0.033s      0.335w      4 calls
| build grid                        :      0.350u      0.017s      0.211w      4 calls
| post-process grid                 :      0.167u      0.017s      0.123w      4 calls
DFH: sparsity prep                  :      0.067u      0.067s      0.072w      4 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.067s      0.052w      4 calls
DFH: initialize()                   :      0.200u      0.050s      0.143w      4 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.050s      0.047w      8 calls
| DFH: AO Construction              :      0.050u      0.000s      0.023w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.400u      0.150s      0.327w      4 calls
| SAD Guess                         :      0.383u      0.150s      0.312w      4 calls
HF: Form G                          :      8.283u      0.367s      5.179w     33 calls
| RV: Form V                        :      8.267u      0.350s      5.147w     33 calls
| | Properties                      :      1.233u      0.067s      0.873w  18282 calls
| | Functional                      :      5.200u      0.217s      3.070w  18282 calls
| | V_xc                            :      1.600u      0.050s      1.067w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     33 calls
| JK: JK                            :      0.000u      0.017s      0.007w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.006w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.005w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.600u      0.017s      0.366w     29 calls
HF: Form C                          :      0.017u      0.000s      0.030w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:48:28 2025
Timers Off: Mon Jul  7 10:48:40 2025

Wall Time:       11.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.533u      0.033s      0.339w      4 calls
build grid                          :      0.333u      0.017s      0.207w      4 calls
post-process grid                   :      0.200u      0.017s      0.132w      4 calls
DFH: sparsity prep                  :      0.083u      0.033s      0.064w      4 calls
Libint2ERI::Libint2ERI              :      0.117u      0.050s      0.073w     12 calls
DFH: initialize()                   :      0.183u      0.017s      0.122w      4 calls
DFH: AO Construction                :      0.017u      0.000s      0.023w      4 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.008w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.450u      0.067s      0.292w      4 calls
SAD Guess                           :      0.400u      0.067s      0.278w      4 calls
HF: Form G                          :      8.183u      0.350s      5.107w     33 calls
RV: Form V                          :      8.100u      0.350s      5.077w     33 calls
Properties                          :      1.200u      0.083s      0.841w  18282 calls
Functional                          :      4.933u      0.200s      3.065w  18282 calls
V_xc                                :      1.667u      0.067s      1.040w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     33 calls
JK: JK                              :      0.000u      0.000s      0.006w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.005w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.567u      0.033s      0.377w     29 calls
HF: Form C                          :      0.050u      0.000s      0.030w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.533u      0.033s      0.339w      4 calls
| build grid                        :      0.333u      0.017s      0.207w      4 calls
| post-process grid                 :      0.200u      0.017s      0.132w      4 calls
DFH: sparsity prep                  :      0.083u      0.033s      0.064w      4 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.033s      0.044w      4 calls
DFH: initialize()                   :      0.183u      0.017s      0.122w      4 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.029w      8 calls
| DFH: AO Construction              :      0.017u      0.000s      0.023w      4 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.008w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.450u      0.067s      0.292w      4 calls
| SAD Guess                         :      0.400u      0.067s      0.278w      4 calls
HF: Form G                          :      8.183u      0.350s      5.107w     33 calls
| RV: Form V                        :      8.100u      0.350s      5.077w     33 calls
| | Properties                      :      1.200u      0.083s      0.841w  18282 calls
| | Functional                      :      4.933u      0.200s      3.065w  18282 calls
| | V_xc                            :      1.667u      0.067s      1.040w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     33 calls
| JK: JK                            :      0.000u      0.000s      0.006w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.005w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.567u      0.033s      0.377w     29 calls
HF: Form C                          :      0.050u      0.000s      0.030w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:49:43 2025
Timers Off: Mon Jul  7 10:49:48 2025

Wall Time:        5.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.167u      0.033s      0.114w      1 calls
build grid                          :      0.100u      0.017s      0.066w      1 calls
post-process grid                   :      0.067u      0.017s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.033s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.033s      0.032w      3 calls
DFH: initialize()                   :      0.050u      0.000s      0.031w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.083u      0.033s      0.064w      1 calls
SAD Guess                           :      0.067u      0.033s      0.061w      1 calls
HF: Form G                          :      2.567u      0.083s      1.595w      9 calls
RV: Form V                          :      2.550u      0.083s      1.588w      9 calls
Properties                          :      0.533u      0.000s      0.235w   4986 calls
Functional                          :      1.583u      0.017s      1.026w   4986 calls
V_xc                                :      0.350u      0.033s      0.292w   4986 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w      9 calls
JK: JK                              :      0.000u      0.000s      0.002w      9 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.317u      0.050s      0.218w      8 calls
HF: Form C                          :      0.033u      0.000s      0.008w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.167u      0.033s      0.114w      1 calls
| build grid                        :      0.100u      0.017s      0.066w      1 calls
| post-process grid                 :      0.067u      0.017s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.033s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.033s      0.021w      1 calls
DFH: initialize()                   :      0.050u      0.000s      0.031w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.083u      0.033s      0.064w      1 calls
| SAD Guess                         :      0.067u      0.033s      0.061w      1 calls
HF: Form G                          :      2.567u      0.083s      1.595w      9 calls
| RV: Form V                        :      2.550u      0.083s      1.588w      9 calls
| | Properties                      :      0.533u      0.000s      0.235w   4986 calls
| | Functional                      :      1.583u      0.017s      1.026w   4986 calls
| | V_xc                            :      0.350u      0.033s      0.292w   4986 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w      9 calls
| JK: JK                            :      0.000u      0.000s      0.002w      9 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.317u      0.050s      0.218w      8 calls
HF: Form C                          :      0.033u      0.000s      0.008w      8 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:50:01 2025
Timers Off: Mon Jul  7 10:50:11 2025

Wall Time:       10.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.500u      0.033s      0.329w      4 calls
build grid                          :      0.300u      0.017s      0.199w      4 calls
post-process grid                   :      0.200u      0.017s      0.130w      4 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.060w      4 calls
Libint2ERI::Libint2ERI              :      0.050u      0.033s      0.069w     12 calls
DFH: initialize()                   :      0.167u      0.017s      0.117w      4 calls
DFH: AO Construction                :      0.033u      0.000s      0.023w      4 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.017s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.350u      0.033s      0.231w      4 calls
SAD Guess                           :      0.317u      0.033s      0.219w      4 calls
HF: Form G                          :      7.800u      0.267s      4.913w     33 calls
RV: Form V                          :      7.800u      0.267s      4.883w     33 calls
Properties                          :      1.283u      0.017s      0.824w  18282 calls
Functional                          :      4.633u      0.167s      2.934w  18282 calls
V_xc                                :      1.617u      0.083s      0.998w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     33 calls
JK: JK                              :      0.000u      0.000s      0.007w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.006w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.005w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.650u      0.083s      0.399w     29 calls
HF: Form C                          :      0.050u      0.000s      0.030w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.500u      0.033s      0.329w      4 calls
| build grid                        :      0.300u      0.017s      0.199w      4 calls
| post-process grid                 :      0.200u      0.017s      0.130w      4 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.060w      4 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.041w      4 calls
DFH: initialize()                   :      0.167u      0.017s      0.117w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.028w      8 calls
| DFH: AO Construction              :      0.033u      0.000s      0.023w      4 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.017s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.350u      0.033s      0.231w      4 calls
| SAD Guess                         :      0.317u      0.033s      0.219w      4 calls
HF: Form G                          :      7.800u      0.267s      4.913w     33 calls
| RV: Form V                        :      7.800u      0.267s      4.883w     33 calls
| | Properties                      :      1.283u      0.017s      0.824w  18282 calls
| | Functional                      :      4.633u      0.167s      2.934w  18282 calls
| | V_xc                            :      1.617u      0.083s      0.998w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     33 calls
| JK: JK                            :      0.000u      0.000s      0.007w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.006w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.005w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.650u      0.083s      0.399w     29 calls
HF: Form C                          :      0.050u      0.000s      0.030w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:50:41 2025
Timers Off: Mon Jul  7 10:50:51 2025

Wall Time:       10.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.583u      0.050s      0.359w      4 calls
build grid                          :      0.350u      0.017s      0.219w      4 calls
post-process grid                   :      0.233u      0.033s      0.138w      4 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.049w      4 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.054w     12 calls
DFH: initialize()                   :      0.117u      0.017s      0.095w      4 calls
DFH: AO Construction                :      0.000u      0.000s      0.020w      4 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.367u      0.033s      0.234w      4 calls
SAD Guess                           :      0.317u      0.033s      0.221w      4 calls
HF: Form G                          :      7.300u      0.317s      4.591w     33 calls
RV: Form V                          :      7.250u      0.317s      4.563w     33 calls
Properties                          :      1.517u      0.050s      0.765w  18282 calls
Functional                          :      3.933u      0.200s      2.744w  18282 calls
V_xc                                :      1.483u      0.067s      0.931w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     33 calls
JK: JK                              :      0.017u      0.000s      0.006w     33 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.006w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.017u      0.000s      0.004w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.017u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.600u      0.033s      0.374w     29 calls
HF: Form C                          :      0.000u      0.000s      0.027w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.583u      0.050s      0.359w      4 calls
| build grid                        :      0.350u      0.017s      0.219w      4 calls
| post-process grid                 :      0.233u      0.033s      0.138w      4 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.049w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.033w      4 calls
DFH: initialize()                   :      0.117u      0.017s      0.095w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.021w      8 calls
| DFH: AO Construction              :      0.000u      0.000s      0.020w      4 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.367u      0.033s      0.234w      4 calls
| SAD Guess                         :      0.317u      0.033s      0.221w      4 calls
HF: Form G                          :      7.300u      0.317s      4.591w     33 calls
| RV: Form V                        :      7.250u      0.317s      4.563w     33 calls
| | Properties                      :      1.517u      0.050s      0.765w  18282 calls
| | Functional                      :      3.933u      0.200s      2.744w  18282 calls
| | V_xc                            :      1.483u      0.067s      0.931w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     33 calls
| JK: JK                            :      0.017u      0.000s      0.006w     33 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.006w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.004w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.017u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.600u      0.033s      0.374w     29 calls
HF: Form C                          :      0.000u      0.000s      0.027w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:52:47 2025
Timers Off: Mon Jul  7 10:52:57 2025

Wall Time:       10.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.500u      0.033s      0.317w      4 calls
build grid                          :      0.300u      0.017s      0.194w      4 calls
post-process grid                   :      0.200u      0.017s      0.122w      4 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.051w      4 calls
Libint2ERI::Libint2ERI              :      0.050u      0.033s      0.061w     12 calls
DFH: initialize()                   :      0.133u      0.017s      0.110w      4 calls
DFH: AO Construction                :      0.000u      0.000s      0.023w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      4 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      4 calls
HF: Guess                           :      0.317u      0.033s      0.229w      4 calls
SAD Guess                           :      0.300u      0.033s      0.216w      4 calls
HF: Form G                          :      7.200u      0.233s      4.453w     33 calls
RV: Form V                          :      7.150u      0.233s      4.428w     33 calls
Properties                          :      1.517u      0.000s      0.757w  18282 calls
Functional                          :      3.950u      0.200s      2.648w  18282 calls
V_xc                                :      1.350u      0.033s      0.909w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     33 calls
JK: JK                              :      0.017u      0.000s      0.006w     33 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.005w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.017u      0.000s      0.004w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.600u      0.050s      0.375w     29 calls
HF: Form C                          :      0.050u      0.000s      0.027w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.500u      0.033s      0.317w      4 calls
| build grid                        :      0.300u      0.017s      0.194w      4 calls
| post-process grid                 :      0.200u      0.017s      0.122w      4 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.051w      4 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.035w      4 calls
DFH: initialize()                   :      0.133u      0.017s      0.110w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.026w      8 calls
| DFH: AO Construction              :      0.000u      0.000s      0.023w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      4 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      4 calls
HF: Guess                           :      0.317u      0.033s      0.229w      4 calls
| SAD Guess                         :      0.300u      0.033s      0.216w      4 calls
HF: Form G                          :      7.200u      0.233s      4.453w     33 calls
| RV: Form V                        :      7.150u      0.233s      4.428w     33 calls
| | Properties                      :      1.517u      0.000s      0.757w  18282 calls
| | Functional                      :      3.950u      0.200s      2.648w  18282 calls
| | V_xc                            :      1.350u      0.033s      0.909w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     33 calls
| JK: JK                            :      0.017u      0.000s      0.006w     33 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.005w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.004w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.600u      0.050s      0.375w     29 calls
HF: Form C                          :      0.050u      0.000s      0.027w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 16:02:28 2025
Timers Off: Mon Jul  7 16:02:34 2025

Wall Time:        5.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.233u      0.017s      0.157w      4 calls
build grid                          :      0.133u      0.000s      0.093w      4 calls
post-process grid                   :      0.100u      0.017s      0.064w      4 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.038w      4 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.047w     12 calls
DFH: initialize()                   :      0.100u      0.017s      0.066w      4 calls
DFH: AO Construction                :      0.050u      0.000s      0.011w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.183u      0.067s      0.144w      4 calls
SAD Guess                           :      0.183u      0.067s      0.138w      4 calls
HF: Form G                          :      3.667u      0.117s      2.230w     33 calls
RV: Form V                          :      3.633u      0.117s      2.216w     33 calls
Properties                          :      0.717u      0.017s      0.385w  18282 calls
Functional                          :      2.000u      0.050s      1.324w  18282 calls
V_xc                                :      0.850u      0.050s      0.451w  18282 calls
JK: D                               :      0.000u      0.000s      0.000w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     33 calls
JK: JK                              :      0.000u      0.000s      0.003w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.167u      0.033s      0.211w     29 calls
HF: Form C                          :      0.000u      0.000s      0.012w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.233u      0.017s      0.157w      4 calls
| build grid                        :      0.133u      0.000s      0.093w      4 calls
| post-process grid                 :      0.100u      0.017s      0.064w      4 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.038w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.030w      4 calls
DFH: initialize()                   :      0.100u      0.017s      0.066w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w      8 calls
| DFH: AO Construction              :      0.050u      0.000s      0.011w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.183u      0.067s      0.144w      4 calls
| SAD Guess                         :      0.183u      0.067s      0.138w      4 calls
HF: Form G                          :      3.667u      0.117s      2.230w     33 calls
| RV: Form V                        :      3.633u      0.117s      2.216w     33 calls
| | Properties                      :      0.717u      0.017s      0.385w  18282 calls
| | Functional                      :      2.000u      0.050s      1.324w  18282 calls
| | V_xc                            :      0.850u      0.050s      0.451w  18282 calls
| JK: D                             :      0.000u      0.000s      0.000w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     33 calls
| JK: JK                            :      0.000u      0.000s      0.003w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.167u      0.033s      0.211w     29 calls
HF: Form C                          :      0.000u      0.000s      0.012w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 16:02:52 2025
Timers Off: Mon Jul  7 16:02:57 2025

Wall Time:        5.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.267u      0.017s      0.184w      4 calls
build grid                          :      0.183u      0.000s      0.117w      4 calls
post-process grid                   :      0.083u      0.017s      0.067w      4 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.025w      4 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.029w     12 calls
DFH: initialize()                   :      0.067u      0.017s      0.062w      4 calls
DFH: AO Construction                :      0.033u      0.000s      0.009w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.183u      0.033s      0.125w      4 calls
SAD Guess                           :      0.150u      0.033s      0.118w      4 calls
HF: Form G                          :      3.500u      0.117s      2.188w     33 calls
RV: Form V                          :      3.483u      0.117s      2.174w     33 calls
Properties                          :      0.567u      0.017s      0.375w  18282 calls
Functional                          :      2.217u      0.067s      1.299w  18282 calls
V_xc                                :      0.600u      0.033s      0.446w  18282 calls
